	baseMean	log2FoldChange	lfcSE	pvalue	padj	HumanSymbol	Tom3D1	Tom3D2	Tom3D3	Tom2D1	Tom2D2	Tom2D3
ENSMUSG00000023940	395.28332054085604	-3.31154307185429	0.14378063637263902	2.945392408434987e-118	3.291660103451627e-115	SGO1	1.36809301764	0.927760334949	0.940413090655	11.6074158241	10.6153489681	10.3572389143
ENSMUSG00000038379	323.151463751762	-3.72265904916152	0.16767970007469502	2.0615707324899684e-110	2.1684086039795997e-107	TTK	0.776204780356	0.930463500686	0.962991860136	12.2108880791	11.5130698243	11.833738016300002
ENSMUSG00000026683	434.5257101010701	-3.82562216076315	0.175378210935621	8.347644381379944e-107	8.292457176858603e-104	NUF2	1.05295970724	1.22182818358	0.978369400787	17.8804125163	14.626510984400001	14.5235966922
ENSMUSG00000079553	662.088331481196	-3.48293174009878	0.16047636582574099	1.8751183179287598e-105	1.7646837180465287e-102	KIFC1	2.39227964805	2.34170343131	2.07762987168	29.169067814899996	23.7006531714	24.446320633899997
ENSMUSG00000029084	1071.81191183371	3.0401872932367904	0.143210992713338	9.533956987970493e-101	8.523834245095024e-98	CD38	32.8182806325	32.1378697285	35.2868693039	4.3381859253	3.72268517021	3.87259796396
ENSMUSG00000025758	777.9426719058521	-2.91622363923804	0.138012179706284	8.463431671965754e-100	7.206410558400934e-97	PLK4	3.39201935238	2.67212856351	3.21260346141	25.2638809099	23.055209913899997	22.025696531999998
ENSMUSG00000041064	277.512397612067	-4.28896336097857	0.20507228039446693	5.100461066761457e-99	4.14551565158008e-96	PIF1	0.285923008006	0.3838752881350001	0.362275351639	7.78923010489	6.69215326314	6.13500009551
ENSMUSG00000034311	721.954919441158	-3.92639816292019	0.1875231253155389	9.019640507658322e-99	7.012182257279936e-96	KIF4B	1.01640300859	1.00785834551	0.849962098336	14.7858056025	14.7272721357	15.090410582899999
ENSMUSG00000019961	3866.5937547457597	-1.6597818479179498	0.0799627103913219	5.666867965952436e-98	4.222052754133147e-95	TMPO	27.6038852827	25.2420948489	27.7764863815	87.96482505889999	82.6516559197	83.7356054176
ENSMUSG00000022034	350.349846513556	-3.17999152533284	0.15228431213402402	1.2308240251452086e-97	8.803345757448627e-95	ESCO2	1.23445338009	1.77907304439	1.51453296144	14.9456933047	13.724059163900002	12.6760065877
ENSMUSG00000020897	543.760206431168	-3.64632702911941	0.18107400892985	2.505134714772608e-91	1.722858224417269e-88	AURKC	2.02589447673	1.91789999726	2.5641431379	29.5799599824	26.5147541797	26.301241314099997
ENSMUSG00000035683	469.23944794078596	-3.26466261312736	0.163056896874108	5.005475171233576e-90	3.3149222791417585e-87	MELK	1.8682106426700005	1.55490369611	1.43328634044	14.914117459100002	15.7524724133	16.5925960003
ENSMUSG00000027306	815.7763445191611	-2.9693419305911704	0.149175816317204	7.140943936644676e-89	4.560257804683696e-86	NUSAP1	2.70042655718	2.40922491755	2.8027536351	24.957437375100003	19.8667810305	17.6834842903
ENSMUSG00000031262	339.23464132965097	-3.0137844112262404	0.154535221897852	1.9632207887534386e-85	1.210494859437939e-82	CENPI	1.42345260151	1.16251418044	1.13773510252	10.3900082144	9.45454132841	10.5558325913
ENSMUSG00000037313	1425.8993103430896	-3.28600620211226	0.16966621174496	1.9703951900002597e-84	1.174421213079819e-81	TACC3	4.94418883161	4.0913561760900015	3.99738484436	44.021284518	43.5851330492	41.2500404394
ENSMUSG00000006398	1349.00030297077	-3.6846362074116303	0.19296593651662197	1.84554416992631e-82	1.0645217839500799e-79	CDC20	5.479971116640002	4.88681713907	7.053685972	77.8916891835	78.0811250341	70.9298284779
ENSMUSG00000040204	1419.4036787006796	-3.80179613880939	0.19949737846079305	2.9251808297642196e-82	1.6345362005316898e-79	PCLAF	4.04378146541	3.84338062692	4.18513946246	55.8070281391	59.371068728699996	56.304582474499995
ENSMUSG00000024989	559.52514919214	-3.73961157380045	0.198107205276298	1.0379591387241493e-80	5.62416586652316e-78	IFT81	1.13731852189	1.37389793874	1.8109667218	24.5043903923	16.8959212684	17.3341474528
ENSMUSG00000024590	2019.4684549291198	-2.96976134993576	0.158362047952322	3.52323075372857e-79	1.852908503159429e-76	LMNB2	8.266048515669999	7.29150865749	7.57289920555	64.3375249051	60.0700391274	58.408356111
ENSMUSG00000027496	784.71461359261	-3.6505714407465	0.195325504226555	4.2612945948919587e-79	2.1770345328932287e-76	AURKA	3.90822162833	2.58021191982	3.1496561378900005	42.528574409099996	42.6351190006	38.3794110467
ENSMUSG00000001228	1671.97489514084	-2.90022718706214	0.15624872802380402	1.3148276144666891e-77	6.530675715077438e-75	UHRF2	6.01666931878	6.03402726013	5.95462327404	45.344090488999996	45.340609970200006	44.6366661984
ENSMUSG00000033031	1166.77061582977	-2.6832470792370002	0.145802474748047	2.4319126098195996e-76	1.1752710642211999e-73	CIP2A	3.99881107426	4.2854617382	5.36919262276	32.1785212005	29.064118554	26.5993786037
ENSMUSG00000038497	1250.7518563834199	2.01727983383838	0.11047865229367901	3.26533091523743e-76	1.4976612047298692e-73	TMCO3	32.2565483913	29.6542843483	31.5080056077	8.150389842860001	7.526007322210001	7.06421687007
ENSMUSG00000021377	2400.6156983302303	-1.71568238530736	0.09430348195678301	3.26652798973574e-76	1.4976612047298692e-73	DEK	23.5997684055	24.1007738589	26.6735326282	83.089016249	80.9333426924	80.0243415618
ENSMUSG00000025001	1407.05631651301	-2.4550385928650003	0.13493822586398	7.908518790861786e-75	3.535305612484988e-72	HELLS	4.98878241117	4.91661480455	4.76169369557	28.0320664581	26.1922554504	26.4867612655
ENSMUSG00000027115	261.706789612277	-2.44010393988244	0.13429538607667402	1.1793597986097898e-74	5.14344696559551e-72	KIF18A	0.645833621019	0.681281115284	0.967002188322	4.55948797435	3.9212423941199988	3.8997339138
ENSMUSG00000048327	592.797566511123	-3.48840095323411	0.192284434342305	1.4447256503098195e-74	6.150747465045225e-72	CKAP2L	1.84054805823	1.7882873739200005	1.81892656728	23.645666022600004	20.2841958041	18.479291668
ENSMUSG00000027331	965.758558483205	-2.37867987767024	0.131750444361313	7.919691437201836e-74	3.2933023857815396e-71	KNSTRN	3.6538296733699993	3.68023183494	3.10611556585	17.860200290799998	17.8684763368	18.7911805397
ENSMUSG00000015176	2446.44128490705	-1.57981367456854	0.088345766508157	9.629596310174952e-74	3.913336627778147e-71	NOLC1	20.4596387716	18.7303992578	21.5776019473	62.5589090241	60.6940896309	58.3990954883
ENSMUSG00000038252	2482.345281818789	-2.61714495491575	0.14515660599275798	2.0945711304134084e-73	8.322894751760494e-71	NCAPD2	8.90623300959	8.979557713310003	7.0020042304	47.1338967333	52.00438723520001	54.3856000342
ENSMUSG00000026622	657.493576657365	-3.5604867711981405	0.198305350381987	3.7464889769551585e-73	1.4563254216725e-70	NEK2	1.7735208852700002	1.4403990195899998	1.40362052591	16.284648904	18.496838938699998	20.720348426199998
ENSMUSG00000017499	394.353257918743	-3.09773290217531	0.172189764424215	3.97802311408477e-73	1.5134261979351e-70	CDC6	1.17073243918	0.8900827023639999	0.979999337315	8.591554481000001	9.17784908111	8.58410122658
ENSMUSG00000036777	2535.70858141315	-3.48028781933223	0.19508001061958305	3.3816192596994796e-72	1.259723624639299e-69	ANLN	4.99840225535	4.64198817425	4.03665360685	47.516477146899994	54.3079119449	53.5956347123
ENSMUSG00000046434	12465.312875579299	-1.71096474554404	0.0976865889145721	6.163291187643507e-71	2.249098157678649e-68	HNRNPA3	158.675702694	144.264620642	157.51951392200002	488.90291517800006	503.27876751900004	514.304866299
ENSMUSG00000022322	487.98068031303706	-3.4227448542077403	0.19404631066172198	1.3479771567456794e-70	4.82063590795391e-68	SHCBP1	2.35182402903	2.55608623328	2.5108001314400004	29.2272499637	25.7447813453	26.070857158699997
ENSMUSG00000048922	427.598523300792	-3.0551661208445497	0.1731983569453	2.176198398423188e-70	7.629922267099035e-68	CDCA2	1.41090021485	1.40488118593	1.34770958073	12.0675285266	11.6056871883	11.3644142053
ENSMUSG00000022385	409.94790943071996	-3.28288849732782	0.187119808347589	8.895436238861875e-70	3.05883260359787e-67	GTSE1	1.3960132833	1.43336517357	1.6646392639200005	17.6108000941	13.9866277742	12.8369165912
ENSMUSG00000028175	306.882894344045	-3.5129263130344	0.20118929853651396	2.636411704179e-69	8.894656166495229e-67	DEPDC1	0.716348483345	0.8360563162469999	1.0621328959799998	12.265380566500001	9.44512786526	8.644124810360001
ENSMUSG00000026669	528.96725526547	-2.75930861149984	0.157953609882893	4.96140899978361e-69	1.6428695245394595e-66	MCM10	1.84191145665	1.4819547808200002	1.55914431245	11.6025450949	10.3533380569	11.3936503687
ENSMUSG00000020649	3306.61189893984	-4.006412602963	0.23089500132992896	5.723850877367519e-69	1.860875955240159e-66	RRM2B	10.2310904376	8.98980485329	12.2316251078	203.643733863	166.696474972	150.807761477
ENSMUSG00000024660	1694.18944744267	-2.30408615860633	0.133211882321694	4.060180095065127e-68	1.2964300049974902e-65	INCENP	10.8473833888	9.217315475980001	8.8136120072	47.344594681000004	47.2106519903	48.5831901027
ENSMUSG00000029730	2884.9542475755297	-1.9798110470945096	0.115943356137056	3.3978745778011687e-67	1.0659192162396993e-64	MCM7	22.8101218092	22.258332996100002	25.877201779099998	90.7767521974	94.7863045836	93.7243770098
ENSMUSG00000022678	1205.0355044663002	-1.95772559427748	0.115135296179156	1.0333377018223393e-66	3.18570887004918e-64	NDE1	10.6066638021	10.0218928581	13.074901437000001	45.362122706099996	44.372465345600006	40.9374694287
ENSMUSG00000027323	554.348252334708	-2.95897353994995	0.173070134810297	2.994521474754168e-66	9.075430252555799e-64	RAD51	2.01506724971	2.0780775123	2.02602060148	16.9251779905	15.8166720841	15.3953371164
ENSMUSG00000021569	447.796797739037	-2.8457063334020605	0.16645310329062898	3.185274776964308e-66	9.492649714483145e-64	TRIP13	2.6585955307700004	2.7338142251	2.46507442484	19.503187953399998	18.638087233	18.9485968236
ENSMUSG00000002297	999.276379716174	-2.65652690451373	0.155680683955567	5.205544613985948e-66	1.525907266273489e-63	DBF4	6.43942146349	5.685558467080001	6.400588936109999	45.4538168367	35.3124489667	37.0089269168
ENSMUSG00000027669	1079.5161320361	-1.4979126204572701	0.0893805436360988	3.7087361943221685e-65	1.0696114821076598e-62	GNB4	3.40351623362	3.34087132375	3.49199730518	10.693596699299999	9.41381603419	8.90671149343
ENSMUSG00000028560	1343.80819440319	-1.9101785820797	0.11431086501280804	1.1594283655381395e-64	3.2907521593948294e-62	USP1	9.217621640689998	9.35013589463	8.863959759530001	32.6992120258	34.6738607706	35.8695365255
ENSMUSG00000047534	432.364434918237	-2.51378676574777	0.150127580483387	9.502687325765942e-64	2.6549617511253286e-61	MIS18BP1	1.7670032567200002	1.51249290625	1.26655536364	9.65976865053	8.24218500641	8.373580701569999
ENSMUSG00000002847	375.21691880611803	5.28115642638847	0.32650762633054403	3.12458580651171e-62	8.595495200959356e-60	PLA1A	14.279885003299999	12.9504099351	23.2374515787	0.343266984649	0.512589455211	0.35205170569
ENSMUSG00000042489	399.870999334448	-3.34433297450446	0.20263622464534398	4.205836666349498e-62	1.13946311259084e-59	CLSPN	0.957131367064	0.839616057797	0.784014090889	9.14961250723	8.917873700369999	8.7436736765
ENSMUSG00000020185	285.910252875687	-4.16512807182506	0.254153069173499	4.345843954808308e-62	1.1598214291929391e-59	E2F7	0.212842924195	0.273334916474	0.386932316463	4.83669509497	5.67008416851	5.557582912690001
ENSMUSG00000041859	2003.7220231612805	-2.36515312291954	0.144880582149409	6.572096239148448e-61	1.728171365473729e-58	MCM3	10.8793662879	11.632214810399999	9.80693420203	54.1940894134	56.684057258	56.4795699784
ENSMUSG00000027699	2816.03858043153	-3.50618797958159	0.215170582034626	9.989086145614686e-61	2.5886210053584987e-58	ECT2	7.9578087008	6.498611224199999	6.910362434339999	81.7357273387	85.94250938129998	80.8233301077
ENSMUSG00000034906	865.197088056778	-1.9943582733289096	0.12375505554648596	3.21749325944102e-60	8.218856710294977e-58	NCAPH	7.38568209048	6.66105527806	7.421267708939999	31.516125867600003	27.6055003554	26.7426378844
ENSMUSG00000015880	511.204154868394	-3.3260237630326897	0.20483080925627892	3.428868977348228e-60	8.635437490699105e-58	NCAPG	1.3895198714	1.46578564028	1.46579953738	15.7557304103	14.8710806473	13.618876111199999
ENSMUSG00000012443	1780.9824566984698	-2.52285032601486	0.155428580008705	4.6354117940701595e-60	1.1511916429134494e-57	KIF11	7.16777356883	6.1531653634	6.45738523711	36.8769388573	38.8367937354	38.492185807199995
ENSMUSG00000035455	442.164768371128	-2.74803274187315	0.169779218778493	1.2499656740178588e-59	3.061730988645668e-57	FIGNL1	2.55450715795	2.53303201195	1.7801618762599998	15.333960853199999	15.1420028154	16.3406918136
ENSMUSG00000003363	1413.56019661541	2.07930573177001	0.12962668238752698	1.7123927180017488e-59	4.137742458187737e-57	PLD4	55.1895284638	52.7759464698	53.83065537109999	12.547952648199999	13.267921694000002	11.8062616256
ENSMUSG00000026037	513.0969795521838	-1.79093715149919	0.11284435881521301	6.674258412724889e-59	1.5912321957057799e-56	ORC2	3.52725238857	3.61582662861	3.43596959457	12.506142821500001	11.836973074100001	12.4285819098
ENSMUSG00000017760	4483.61150168899	1.4824975961218405	0.0940714725966896	4.815602035038177e-58	1.13299710511208e-55	CTSA	115.962332187	110.126372675	101.04550039799999	38.0808903657	39.3022732855	37.6624656027
ENSMUSG00000032400	324.447992626084	-2.86623837081553	0.182190977065946	1.7934262568059891e-56	4.164708428304927e-54	ZWILCH	1.4558761457700002	1.06601475764	1.7108229892200002	12.542518483699999	9.65703279011	8.98035444996
ENSMUSG00000000903	12.087355385017199	38.8446102850414	2.46505000093987	1.8884322813042286e-56	4.3291099515385677e-54	VPREB3	0.277900476917	0.366441798418	0.161383978662	0.0	0.0	0.0
ENSMUSG00000090150	449.666566680455	1.7634215481526003	0.114110663553511	4.4133273281554175e-56	9.989203285411024e-54	ACAD11	11.773354416400002	11.493870801600002	12.434162541900001	3.68312009293	3.06487937037	3.5459068673300003
ENSMUSG00000026039	209.96333492388501	-2.9427637528457202	0.18796182341684195	5.74375209341889e-56	1.28380038978029e-53	SGO2	0.533238068384	0.454331442963	0.440677268319	3.64281986906	4.0625438657	3.4789608422
ENSMUSG00000040722	1245.62588395185	2.7224536861907898	0.17421484510001506	9.208537858180117e-56	2.0328131536063997e-53	SCAMP5	46.249456196800004	48.01749941640001	45.2155412117	6.99147799165	6.93952924273	6.70578487589
ENSMUSG00000002718	1988.00340212272	-1.5434075895860202	0.100761325675738	3.869555764646409e-55	8.437991052151517e-53	CSE1L	16.6645261132	17.6378773633	15.946097841099999	47.350033205900004	49.500232939300005	50.2665729634
ENSMUSG00000039865	372.977958797095	4.46609049636836	0.29165004191481103	4.297717338444489e-55	9.258732979364551e-53	SLC44A3	23.1960563377	22.8198300629	20.4816702064	0.849268260987	0.948020075664	1.01735926674
ENSMUSG00000037725	448.467287891466	-3.43327873316698	0.22375764141957	4.1108473888937594e-54	8.750721685810627e-52	CKAP2	1.42147536333	1.27354374509	1.65097485438	20.4368433324	14.0295398866	13.8128522174
ENSMUSG00000037474	489.084033898784	-2.75582371888303	0.17959919892696302	7.532955728169246e-54	1.5846680161811092e-51	DTL	1.89234550718	1.46219172634	1.65190059644	10.9120875952	11.498691620999999	11.7511290249
ENSMUSG00000051220	466.49116821155405	-2.8536841438664595	0.1864315994828621	1.3478166271783693e-53	2.8023615244856284e-51	RAD54L	1.5188477074700002	1.11852523147	1.22042448594	8.789281321810003	9.4562409886	9.99238873988
ENSMUSG00000001473	2228.45685786637	-2.8628907873861897	0.187214839575026	1.6901093076353088e-53	3.473660290784698e-51	TUBB6	13.8076757876	13.622875336300002	10.7805783674	88.47056406360001	94.29393733090001	99.3261690981
ENSMUSG00000044201	294.413102773126	-3.97584410112028	0.262107417798095	1.8229276896418686e-53	3.7040647748279775e-51	CDC25C	0.730616246115	1.10102450715	0.8182691530159999	16.7766793912	12.57674276	14.2846203875
ENSMUSG00000020808	739.938774097032	-4.30836173556063	0.285450591702704	2.1152690635268197e-53	4.2497894522385376e-51	PIMREG	2.51060948041	1.65966891463	2.2938817932	56.7261379411	41.4218355267	37.3392368075
ENSMUSG00000047517	5848.0538619104	8.02183607718777	0.532810576458014	2.6762188893348194e-53	5.3170522177995375e-51	DMBT1	70.75698583	77.0974989857	46.3639672863	0.22263619406	0.251046455504	0.187716722258
ENSMUSG00000038418	1286.0688847319802	4.056537224709509	0.268217640836877	2.876359610039188e-53	5.651888591990197e-51	EGR1	30.440374747899998	30.812394278699998	56.397492082	3.0590069966400004	1.91615175028	1.6643943150999998
ENSMUSG00000039055	159.61689836668899	-3.28380149036822	0.215633727762436	3.042894624714849e-53	5.914130302665888e-51	EME1	0.559524865708	0.830701366595	0.601723201947	6.64735673056	7.341312889019999	5.91202705314
ENSMUSG00000029470	1394.0959398761	2.0194773521262	0.13379292688808098	3.23917075839215e-53	6.227915304388167e-51	P2RX7	41.4387506603	40.8230479722	47.620853410600006	11.3494063562	9.55006915957	10.464545187899999
ENSMUSG00000039748	255.201258128342	-3.2066851639492406	0.21134924635112806	7.957887284443954e-53	1.5137764099270495e-50	EXO1	0.561113163278	0.621021015148	0.39529695391	5.35124268562	5.167955561169999	4.49192016964
ENSMUSG00000021697	169.107575161895	-3.5940128746768303	0.237864553404429	1.0956520470921594e-52	2.0622478162163085e-50	DEPDC1B	0.57306808257	0.521139428496	0.481979580441	6.32481948881	6.882138423350001	6.50093762267
ENSMUSG00000072082	722.9767985176338	-2.9598251938457	0.195378358842423	1.437748155813989e-52	2.6779557056364586e-50	CCNF	3.44840056945	2.99978550256	2.82828156603	21.5098586261	26.469365221300002	25.244544054699997
ENSMUSG00000024056	374.617253975708	-3.22592282659613	0.213279113121388	1.5883699410406795e-52	2.928004424303948e-50	NDC80	1.86389655401	1.31079943994	1.87083699026	19.230108863199998	15.4080990052	13.6814714548
ENSMUSG00000069910	347.58573571870596	-2.4753169337773504	0.16486469949231305	7.929526366188326e-52	1.446814907691969e-49	SPDL1	2.12294331394	2.17547938098	2.8414210327	14.7061216202	12.5899336755	12.5407704007
ENSMUSG00000074818	201.762906843074	2.83383091239191	0.188786539530496	1.2198887519559999e-51	2.20331623977023e-49	PDZD7	5.69906714344	6.403946908659999	5.15145713297	0.8105081872069999	0.754163536525	0.7960562510950001
ENSMUSG00000066551	6399.098094546489	-1.6389563188535499	0.111986298389863	9.427906292126247e-51	1.6858039240951e-48		59.748896301	55.89337526	53.4353271505	164.014546578	179.975540095	184.829533435
ENSMUSG00000025196	184.61967530444198	3.8715823649971197	0.26245199754401105	1.25690589791778e-50	2.2252212238285e-48	CPN1	10.6240397514	9.20242704059	12.3924947846	0.805323229428	0.571217453479	0.6865565304800001
ENSMUSG00000034329	218.245350085196	-2.7931306244836	0.18873327560959197	2.8751536652630485e-50	5.040257126330248e-48	BRIP1	0.431134663566	0.516465640172	0.483767743857	3.22297537051	3.5366527683800006	3.2804148475800003
ENSMUSG00000028015	358.66571823184097	2.83134187860461	0.19168450837938505	4.3956841182075195e-50	7.63099298229792e-48	CTSO	8.324393394860001	7.44098744612	8.20964208409	1.2327854557100002	0.888990927714	1.13855937661
ENSMUSG00000021250	1251.9629017898899	6.04173154388688	0.42467526864582	1.32422041572779e-49	2.2767678128488997e-47	FOS	90.21861669959999	84.0946379254	203.45784605400002	2.45065818413	1.22277387783	1.46144044761
ENSMUSG00000052798	1056.1348784717402	-1.5968758205363998	0.11097500937228899	3.57562120130926e-49	6.08911263815341e-47	NUP107	10.7082059575	8.89878713107	11.3547537808	32.8214603157	31.6658175181	29.566519310900002
ENSMUSG00000032372	425.058046566753	-1.9970030798874	0.13836608197970998	5.166808840447697e-49	8.71582159207975e-47	TMEM256-PLSCR3	6.55750054309	5.68015645805	6.56357135112	27.376920799	25.5100663959	22.6315049325
ENSMUSG00000024833	845.986660251781	-1.4966598827786002	0.104125900740631	5.901557775248368e-49	9.86222005413235e-47	POLA2	9.50682742276	9.83025475965	11.8425480976	31.761974746999996	28.0229102564	28.4794071814
ENSMUSG00000030978	2365.53759561122	-2.12795516622313	0.147424107587156	1.02073990349178e-48	1.68998613095709e-46	RRM1	14.166562578099999	13.540597446600001	11.494096430699999	54.5866419761	58.7351595493	59.174611391400006
ENSMUSG00000022360	1417.8314624491504	-2.22090182240539	0.15361378174399498	1.16232178539631e-48	1.90674090318086e-46	ATAD2B	5.32942502676	5.17067883427	4.6475774485	24.0985586365	23.603143415999998	23.4779862983
ENSMUSG00000047757	184.987122360309	-2.36686214425677	0.163423701605315	1.477720979797709e-48	2.40210262179663e-46	FANCB	1.47863103587	1.20121588994	1.12516584989	6.683145072309999	6.86887070972	6.33382957582
ENSMUSG00000042367	971.733839789763	-2.6413385963771696	0.18198889386630301	1.74975582549418e-48	2.8186832356451796e-46	GJB3	6.16927972301	5.8542585782700005	6.883713430269999	40.2704451056	39.545894754	39.1436553957
ENSMUSG00000025395	521.178220682404	-2.15920391139535	0.149923707112543	1.91462694617397e-48	3.05673610933363e-46	PRIM1	3.74026234115	3.0573757492	3.81757206686	17.2898160163	15.5437180668	14.842614711400001
ENSMUSG00000054115	516.145727899198	-2.1050980681221203	0.146982020116776	4.55122975059163e-48	7.201817625692823e-46	SKP2	1.92435409067	1.90040212224	2.02580598664	8.651981326469999	8.7190927636	7.93444002482
ENSMUSG00000027326	677.23214623751	-3.76967161104113	0.26243331335418	4.6155788168465766e-48	7.239575861757339e-46	KNL1	0.7012711650210001	0.760310356057	0.527911822508	8.88860440483	10.0305081794	9.45131323872
ENSMUSG00000040605	2457.93650698037	3.22967660174693	0.22401681675081	5.754598298104219e-48	8.947649753774037e-46	BACE2	62.7398262734	65.2538486182	61.879049430900004	6.43698133758	6.4529469420200005	6.561980886080001
ENSMUSG00000028953	1725.72205988375	-1.3059591020681398	0.0916098245460737	8.25538310909461e-48	1.27253883942863e-45	LOC114483834	22.6367921515	22.4464899185	20.0272938806	52.6035255523	53.723478809300005	55.599711962200004
ENSMUSG00000020914	6250.05889267298	-3.41981692767161	0.23813668898621201	9.76515668436022e-48	1.49239971515423e-45	TOP2B	13.251158088499999	13.589607445	9.50925961074	119.254201155	142.388868043	140.02765563399998
ENSMUSG00000002870	1619.7947526552	-2.10736119088209	0.147726156912007	1.0403683514165501e-47	1.57651071963384e-45	MCM2	11.812708150699999	11.2244711158	9.89717179409	42.530988478400005	49.49150057470001	50.6135178597
ENSMUSG00000017428	1829.1506151597696	-1.20480111150989	0.0847625485132355	2.7145265316357087e-47	4.07886125312421e-45	PSMD11	18.965096193900003	18.8027876562	20.6627095571	49.1360104691	43.575961858199996	42.456932775300004
ENSMUSG00000040412	733.789516062028	6.12788741455369	0.445954041836085	1.34507436569203e-46	2.0042728944115999e-44	KIAA1324L	18.9450293124	20.9369497767	15.2705718363	0.231981663375	0.22516695123	0.25278832637
ENSMUSG00000041057	1734.8999122393698	-1.0674801837969599	0.0755710715699211	2.0782843715211798e-46	3.07122337579919e-44	WDR43	17.5871129212	17.8245575522	19.471748862000002	38.9320793494	38.3528047835	37.7433358121
ENSMUSG00000051076	472.0764397975351	4.51956287932393	0.325683068779794	4.93257641413599e-46	7.22945892304636e-44	VTCN1	56.3401400888	59.7423961646	58.6538308961	2.63524653106	2.01578869878	2.35988249056
ENSMUSG00000022673	2172.48714788999	-1.8162590019273799	0.13082350599381698	5.7669433627781305e-46	8.383635306490711e-44	MCM4	15.777027201	12.9511497248	15.7346006725	55.4514386058	52.611416155	49.44737376729999
ENSMUSG00000032218	848.784560178762	-3.72827043868194	0.266382254284436	9.622466384731957e-46	1.3875751727854199e-43	CCNB2	4.23978565052	2.66962718632	3.5119080729800003	58.261712633500004	44.5393335142	41.926194023
ENSMUSG00000020034	516.270962125172	2.8070247946797697	0.19944318705949896	1.0475050771863401e-45	1.4984350628135194e-43	TCP11L2	17.0621204554	17.3908033041	22.9253492683	3.25550363956	2.4296928283200003	2.24515323098
ENSMUSG00000005410	1542.72260331109	-3.1406807391554903	0.223515614704265	1.1958209884501499e-45	1.69702183289501e-43	MCM5	6.29021882386	5.94850047159	4.383470881559998	42.748835080300005	53.598612305699994	53.9019504558
